City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Yerbogachen,RU,2020-08-02 18:26:49,61.28,108.01,56.39,69,0,4.0,clear sky
114,Kavieng,PG,2020-08-02 18:24:48,-2.57,150.8,82.22,77,55,6.33,broken clouds
115,Taltal,CL,2020-08-02 18:26:49,-25.4,-70.48,66.16,52,17,5.82,few clouds
116,San Quintin,MX,2020-08-02 18:25:11,30.48,-115.95,78.98,56,0,7.4,clear sky
117,Cayenne,GF,2020-08-02 18:22:27,4.93,-52.33,80.6,83,38,3.36,light rain
118,Whyalla,AU,2020-08-02 18:26:50,-33.03,137.58,48.2,93,100,5.82,overcast clouds
119,Quelimane,MZ,2020-08-02 18:21:39,-17.88,36.89,66.25,88,42,5.06,scattered clouds
120,Ahuimanu,US,2020-08-02 18:26:50,21.44,-157.84,78.8,73,40,8.05,scattered clouds
121,Fort Frances,CA,2020-08-02 18:26:51,48.6,-93.4,72.0,43,40,11.41,scattered clouds
122,Namatanai,PG,2020-08-02 18:26:51,-3.67,152.43,79.56,83,77,7.14,light rain
123,Los Llanos De Aridane,ES,2020-08-02 18:26:09,28.66,-17.92,78.01,73,20,14.99,few clouds
124,Tefe,BR,2020-08-02 18:26:51,-3.35,-64.71,93.2,46,40,5.82,scattered clouds
125,Saint-Pierre,RE,2020-08-02 18:26:51,-21.34,55.48,69.8,60,90,12.75,overcast clouds
126,Castro,BR,2020-08-02 18:25:20,-24.79,-50.01,67.95,50,2,5.91,clear sky
127,Bairiki,KI,2020-08-02 18:26:55,1.33,172.98,80.6,78,20,6.93,few clouds
128,Qaanaaq,GL,2020-08-02 18:24:47,77.48,-69.36,38.97,80,99,12.75,overcast clouds
129,Krasnogorsk,RU,2020-08-02 18:22:43,55.82,37.32,63.0,63,75,4.47,broken clouds
130,Yellowknife,CA,2020-08-02 18:21:17,62.46,-114.35,78.01,64,40,13.87,scattered clouds
131,North Branch,US,2020-08-02 18:26:55,45.51,-92.98,68.0,79,0,5.01,clear sky
132,Cedar City,US,2020-08-02 18:26:56,37.68,-113.06,91.4,7,1,10.29,clear sky
133,Tornio,FI,2020-08-02 18:26:56,65.85,24.15,62.6,63,75,5.82,broken clouds
134,Moose Factory,CA,2020-08-02 18:26:56,51.26,-80.61,59.0,67,90,10.29,overcast clouds
135,Rumia,PL,2020-08-02 18:26:56,54.57,18.39,73.4,53,46,4.7,scattered clouds
136,Zhaoyuan,CN,2020-08-02 18:26:56,37.36,120.4,80.01,93,8,8.66,clear sky
137,Pacific Grove,US,2020-08-02 18:26:56,36.62,-121.92,72.0,72,90,6.93,haze
138,Morwa,IN,2020-08-02 18:26:57,22.9,73.83,84.33,74,96,10.2,light rain
139,Torbay,CA,2020-08-02 18:25:07,47.67,-52.73,61.0,87,90,13.87,overcast clouds
140,Bacolod,PH,2020-08-02 18:26:57,10.67,122.95,78.42,75,100,2.04,overcast clouds
141,Cabo San Lucas,MX,2020-08-02 18:25:00,22.89,-109.91,91.4,52,20,2.95,few clouds
142,Norman Wells,CA,2020-08-02 18:24:50,65.28,-126.83,66.2,82,40,8.05,scattered clouds
143,Atambua,ID,2020-08-02 18:26:58,-9.11,124.89,65.5,88,41,4.63,scattered clouds
144,Ixtapa,MX,2020-08-02 18:25:03,20.7,-105.2,88.0,74,75,5.82,broken clouds
145,Lavrentiya,RU,2020-08-02 18:26:01,65.58,-171.0,44.98,74,82,8.23,broken clouds
146,Prince Rupert,CA,2020-08-02 18:25:08,54.32,-130.32,59.0,93,90,2.24,light rain
147,Hithadhoo,MV,2020-08-02 18:24:46,-0.6,73.08,83.05,78,68,11.72,broken clouds
148,Padang,ID,2020-08-02 18:25:35,-0.95,100.35,76.64,79,44,3.94,scattered clouds
149,Nhulunbuy,AU,2020-08-02 18:26:59,-12.23,136.77,71.6,88,40,5.82,scattered clouds
150,Port Elizabeth,ZA,2020-08-02 18:24:40,-33.92,25.57,59.0,58,0,3.36,clear sky
151,Vila Franca Do Campo,PT,2020-08-02 18:25:28,37.72,-25.43,75.2,64,20,8.05,few clouds
152,Wynyard,AU,2020-08-02 18:27:00,-41.0,145.72,45.0,88,97,5.99,moderate rain
153,Mangrol,IN,2020-08-02 18:27:00,21.12,70.12,85.24,81,88,8.3,overcast clouds
154,Praia Da Vitoria,PT,2020-08-02 18:27:00,38.73,-27.07,77.0,65,40,10.83,scattered clouds
155,Comodoro Rivadavia,AR,2020-08-02 18:27:00,-45.87,-67.5,57.2,50,46,12.75,scattered clouds
156,Goderich,CA,2020-08-02 18:22:24,43.75,-81.72,78.01,86,90,6.49,light rain
157,Kuandian,CN,2020-08-02 18:27:00,40.73,124.78,67.44,94,100,1.74,overcast clouds
158,Ribeira Grande,PT,2020-08-02 18:24:51,38.52,-28.7,75.2,69,20,9.17,few clouds
159,Katobu,ID,2020-08-02 18:27:01,-4.94,122.53,72.52,91,76,2.53,broken clouds
160,Melnikovo,RU,2020-08-02 18:27:02,56.56,84.08,64.99,88,29,2.04,scattered clouds
161,Bambous Virieux,MU,2020-08-02 18:24:43,-20.34,57.76,70.0,73,75,17.22,broken clouds
162,Ucluelet,CA,2020-08-02 18:25:04,48.93,-125.55,62.6,93,90,6.93,light rain
163,Bethel,US,2020-08-02 18:25:25,41.37,-73.41,79.0,88,90,8.05,light rain
164,Novyy Oskol,RU,2020-08-02 18:27:03,50.76,37.87,59.41,89,7,8.57,moderate rain
165,Lakatoro,VU,2020-08-02 18:23:01,-16.1,167.42,74.1,84,68,12.3,broken clouds
166,Harper,LR,2020-08-02 18:25:12,4.38,-7.72,75.97,71,79,5.95,broken clouds
167,Kurilsk,RU,2020-08-02 18:27:04,45.23,147.88,60.48,91,27,9.26,scattered clouds
168,Opelousas,US,2020-08-02 18:27:04,30.53,-92.08,87.01,55,1,4.7,clear sky
169,Sol-Iletsk,RU,2020-08-02 18:27:04,51.16,54.99,75.34,59,100,11.21,overcast clouds
170,Fortuna,US,2020-08-02 18:25:33,40.6,-124.16,66.0,1,0,5.01,clear sky
171,Yulara,AU,2020-08-02 18:26:10,-25.24,130.99,41.0,23,0,5.82,clear sky
172,Council Bluffs,US,2020-08-02 18:23:59,41.26,-95.86,78.8,61,75,14.99,broken clouds
173,Key Largo,US,2020-08-02 18:22:21,25.09,-80.45,87.01,1,100,7.0,light rain
174,Palmer,US,2020-08-02 18:27:06,42.16,-72.33,84.0,61,90,8.05,light rain
175,Kahului,US,2020-08-02 18:25:52,20.89,-156.47,80.6,61,40,12.75,scattered clouds
176,Alyangula,AU,2020-08-02 18:27:06,-13.85,136.42,62.6,100,75,8.16,broken clouds
177,Bandarbeyla,SO,2020-08-02 18:27:06,9.49,50.81,79.11,69,66,31.03,broken clouds
178,Havre-Saint-Pierre,CA,2020-08-02 18:27:07,50.23,-63.6,77.0,57,1,12.75,clear sky
179,Nikolskoye,RU,2020-08-02 18:25:31,59.7,30.79,61.0,82,75,4.47,light intensity shower rain
180,Lima,PE,2020-08-02 18:25:15,-12.04,-77.03,62.6,77,90,9.17,overcast clouds
181,Banda Aceh,ID,2020-08-02 18:27:07,5.56,95.32,81.12,73,100,12.5,overcast clouds
182,Christchurch,NZ,2020-08-02 18:25:23,-43.53,172.63,50.0,93,99,5.82,overcast clouds
183,Warrington,GB,2020-08-02 18:25:59,53.39,-2.58,64.0,63,36,9.17,scattered clouds
184,Belawan,ID,2020-08-02 18:22:57,3.78,98.68,80.6,88,40,2.24,scattered clouds
185,Batemans Bay,AU,2020-08-02 18:27:08,-35.72,150.18,41.0,89,64,4.32,broken clouds
186,Bambanglipuro,ID,2020-08-02 18:25:37,-7.95,110.28,70.9,87,51,4.12,broken clouds
187,Talnakh,RU,2020-08-02 18:25:01,69.49,88.4,59.0,67,97,4.47,overcast clouds
188,San Cristobal,VE,2020-08-02 18:25:03,7.77,-72.22,93.2,38,40,23.04,scattered clouds
189,Acapulco,MX,2020-08-02 18:26:00,16.86,-99.89,87.8,74,20,9.17,few clouds
190,Waipawa,NZ,2020-08-02 18:25:43,-41.41,175.52,50.0,76,90,10.29,overcast clouds
191,Kharp,RU,2020-08-02 18:24:26,66.8,65.81,59.88,84,100,3.62,light rain
192,Shache,CN,2020-08-02 18:25:22,38.42,77.24,75.79,20,34,4.52,scattered clouds
193,Kantunilkin,MX,2020-08-02 18:27:09,21.09,-87.45,89.6,66,40,13.87,scattered clouds
194,Ust-Tsilma,RU,2020-08-02 18:27:10,65.44,52.15,55.17,90,100,2.8,light rain
195,San Patricio,MX,2020-08-02 18:24:59,19.22,-104.7,91.4,70,5,9.17,clear sky
196,Port Moresby,PG,2020-08-02 18:27:10,-9.44,147.18,73.4,88,75,6.93,broken clouds
197,Mount Gambier,AU,2020-08-02 18:25:12,-37.83,140.77,44.6,87,90,9.17,overcast clouds
198,Ejido,VE,2020-08-02 18:27:11,8.55,-71.24,79.93,45,54,5.93,light rain
199,Yaan,NG,2020-08-02 18:26:06,7.38,8.57,74.68,87,78,6.24,broken clouds
200,Brae,GB,2020-08-02 18:27:11,60.4,-1.35,55.4,87,20,9.17,few clouds
201,Mohpa,IN,2020-08-02 18:27:11,21.32,78.82,77.0,94,75,13.87,mist
202,Wewak,PG,2020-08-02 18:27:11,-3.55,143.63,78.33,85,66,3.76,broken clouds
203,Waitara,NZ,2020-08-02 18:27:12,-38.92,174.25,46.99,62,74,8.01,broken clouds
204,Coahuayana,MX,2020-08-02 18:22:43,18.73,-103.68,84.2,74,40,5.32,scattered clouds
205,Cap-Aux-Meules,CA,2020-08-02 18:26:01,47.38,-61.86,77.0,69,40,12.75,scattered clouds
206,Samarai,PG,2020-08-02 18:25:00,-10.62,150.67,76.8,86,99,12.84,light rain
207,Saldanha,ZA,2020-08-02 18:24:37,-33.01,17.94,62.6,67,0,2.24,clear sky
208,Omutninsk,RU,2020-08-02 18:27:13,58.67,52.19,51.48,95,98,9.33,overcast clouds
209,Porto Novo,BJ,2020-08-02 18:25:47,6.5,2.6,78.8,78,20,14.99,few clouds
210,Honningsvag,NO,2020-08-02 18:27:13,70.98,25.97,51.8,81,75,1.12,broken clouds
211,Kula,TR,2020-08-02 18:27:13,38.55,28.65,77.0,10,0,58.0,clear sky
212,Saint George,US,2020-08-02 18:19:56,37.1,-113.58,102.0,15,1,3.36,clear sky
213,Lucea,JM,2020-08-02 18:27:14,18.45,-78.17,89.6,70,40,12.75,scattered clouds
214,Ola,RU,2020-08-02 18:27:14,59.58,151.28,49.48,80,1,1.01,clear sky
215,Harare,ZW,2020-08-02 18:27:14,-17.83,31.05,55.09,40,0,8.14,clear sky
216,Urucara,BR,2020-08-02 18:27:15,-2.54,-57.76,96.57,30,21,5.1,few clouds
217,Darhan,MN,2020-08-02 18:27:15,49.49,105.92,57.61,92,99,4.97,light rain
218,Avera,US,2020-08-02 18:27:16,33.19,-82.53,95.0,47,40,4.7,scattered clouds
219,Ambon,ID,2020-08-02 18:27:16,-3.7,128.18,75.99,16,35,1.01,scattered clouds
220,Saiha,IN,2020-08-02 18:27:16,22.48,92.97,74.44,93,99,0.78,light rain
221,Jawhar,SO,2020-08-02 18:27:16,2.78,45.5,76.41,74,47,20.51,scattered clouds
222,Lata,PT,2020-08-02 18:27:16,40.16,-8.33,73.99,59,57,8.99,broken clouds
223,Sola,VU,2020-08-02 18:19:54,-13.88,167.55,76.26,90,42,18.19,scattered clouds
224,Olafsvik,IS,2020-08-02 18:25:34,64.89,-23.71,47.19,87,63,19.64,broken clouds
225,Ypsonas,CY,2020-08-02 18:27:17,34.69,32.96,80.6,83,20,9.17,few clouds
226,Provideniya,RU,2020-08-02 18:24:48,64.38,-173.3,44.38,64,95,10.63,overcast clouds
227,Sergeyevka,KZ,2020-08-02 18:27:17,53.88,67.42,71.1,57,0,6.58,clear sky
228,Souillac,MU,2020-08-02 18:25:53,-20.52,57.52,69.8,73,75,17.22,broken clouds
229,Vanimo,PG,2020-08-02 18:25:53,-2.67,141.3,76.5,84,37,3.06,scattered clouds
230,Russell,US,2020-08-02 18:25:30,32.35,-85.2,93.99,52,20,8.05,few clouds
231,Zyryanka,RU,2020-08-02 18:24:56,65.75,150.85,50.27,74,21,4.38,few clouds
232,Agadez,NE,2020-08-02 18:27:18,19.75,10.25,96.19,24,51,7.96,broken clouds
233,Santarem,BR,2020-08-02 18:25:10,-2.44,-54.71,95.02,32,73,5.55,broken clouds
234,Turukhansk,RU,2020-08-02 18:21:05,65.82,87.98,55.2,91,55,5.99,light rain
235,Klaksvik,FO,2020-08-02 18:27:19,62.23,-6.59,50.0,100,52,12.75,light rain
236,Yar-Sale,RU,2020-08-02 18:27:19,66.83,70.83,60.93,70,94,8.9,overcast clouds
237,Adolfo Lopez Mateos,MX,2020-08-02 18:27:19,28.47,-107.3,80.01,43,21,4.0,few clouds
238,Cockburn Town,TC,2020-08-02 18:27:20,21.46,-71.14,86.0,70,40,13.87,scattered clouds
239,Port Blair,IN,2020-08-02 18:20:53,11.67,92.75,82.53,82,100,24.0,light rain
240,Aykhal,RU,2020-08-02 18:27:20,66.0,111.5,62.6,48,66,4.47,broken clouds
241,Roebourne,AU,2020-08-02 18:27:20,-20.78,117.13,68.63,63,17,9.24,few clouds
242,Half Moon Bay,US,2020-08-02 18:22:20,37.46,-122.43,73.0,87,75,6.93,broken clouds
243,Victoria,HK,2020-08-02 18:21:40,22.29,114.16,79.0,93,100,1.99,light rain
244,Carnarvon,AU,2020-08-02 18:25:32,-24.87,113.63,59.0,87,0,10.29,clear sky
245,Tasiilaq,GL,2020-08-02 18:25:25,65.61,-37.64,50.0,61,18,14.99,few clouds
246,Stornoway,GB,2020-08-02 18:27:21,58.21,-6.39,55.0,87,100,8.05,light rain
247,Samarinda,ID,2020-08-02 18:20:16,-0.5,117.15,73.31,96,91,0.83,overcast clouds
248,Shihezi,CN,2020-08-02 18:27:22,44.3,86.03,79.72,23,85,3.42,overcast clouds
249,Price,US,2020-08-02 18:27:22,39.6,-110.81,89.6,14,1,8.05,clear sky
250,Port-Cartier,CA,2020-08-02 18:27:22,50.03,-66.87,78.8,54,75,8.05,broken clouds
251,Gornoye Loo,RU,2020-08-02 18:27:22,43.71,39.6,71.6,68,20,4.47,few clouds
252,Druzhba,UA,2020-08-02 18:27:23,52.04,33.95,56.41,90,40,6.42,scattered clouds
253,Lokot,RU,2020-08-02 18:27:23,52.56,34.58,55.72,95,45,5.08,scattered clouds
254,Miri,MY,2020-08-02 18:23:14,4.41,114.01,78.8,94,40,1.12,scattered clouds
255,Chandler,US,2020-08-02 18:27:23,33.31,-111.84,102.99,24,75,5.82,broken clouds
256,Umm Lajj,SA,2020-08-02 18:25:12,25.02,37.27,88.29,65,46,4.65,scattered clouds
257,Songjianghe,CN,2020-08-02 18:26:04,42.19,127.48,63.9,97,100,1.77,moderate rain
258,Martapura,ID,2020-08-02 18:27:24,-3.42,114.85,77.0,94,90,2.24,overcast clouds
259,Ketchikan,US,2020-08-02 18:26:13,55.34,-131.65,59.0,100,90,13.87,overcast clouds
260,Los Palacios,CU,2020-08-02 18:27:24,22.59,-83.25,88.54,65,93,2.24,light rain
261,Husavik,IS,2020-08-02 18:24:42,66.04,-17.34,53.6,81,90,8.05,overcast clouds
262,Yekepa,LR,2020-08-02 18:27:24,7.58,-8.54,72.73,93,92,3.67,light rain
263,Plettenberg Bay,ZA,2020-08-02 18:27:25,-34.05,23.37,64.69,52,0,3.6,clear sky
264,Yago,MX,2020-08-02 18:27:25,21.83,-105.07,84.2,58,75,1.68,broken clouds
265,Zhanaozen,KZ,2020-08-02 18:27:25,43.3,52.8,82.76,24,41,7.85,scattered clouds
266,Meulaboh,ID,2020-08-02 18:27:25,4.14,96.13,78.19,79,100,2.33,light rain
267,Ifanadiana,MG,2020-08-02 18:27:26,-21.3,47.63,57.45,89,88,2.21,overcast clouds
268,Udachnyy,RU,2020-08-02 18:27:26,66.42,112.4,62.6,48,81,4.47,broken clouds
269,Makakilo City,US,2020-08-02 18:22:19,21.35,-158.09,80.6,61,20,8.05,few clouds
270,Korla,CN,2020-08-02 18:27:29,41.76,86.15,83.82,20,79,8.63,broken clouds
